2016-02-24 14:23:47.258 [Thread-2] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Start a connection to the ActiveMQ broker : tcp://127.0.0.1:61616
2016-02-24 14:23:47.258 [Thread-4] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Start a connection to the ActiveMQ broker : tcp://127.0.0.1:61616
2016-02-24 14:23:47.258 [Thread-1] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Start a connection to the ActiveMQ broker : tcp://127.0.0.1:61616
2016-02-24 14:23:47.258 [Thread-9] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Start a connection to the ActiveMQ broker : tcp://127.0.0.1:61616
2016-02-24 14:23:47.257 [Thread-7] WARN  fr.unice.polytech.ecoknowledge.common.worker.Worker - Retrieving name of queue to create
2016-02-24 14:23:47.258 [Thread-8] WARN  fr.unice.polytech.ecoknowledge.common.worker.Worker - Using queue named : calculatorQueue
2016-02-24 14:23:47.258 [Thread-6] WARN  fr.unice.polytech.ecoknowledge.common.worker.Worker - Retrieving name of queue to create
2016-02-24 14:23:47.258 [Thread-7] WARN  fr.unice.polytech.ecoknowledge.common.worker.Worker - Using queue named : calculatorQueue
2016-02-24 14:23:47.258 [Thread-8] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Start a connection to the ActiveMQ broker : tcp://127.0.0.1:61616
2016-02-24 14:23:47.259 [Thread-6] WARN  fr.unice.polytech.ecoknowledge.common.worker.Worker - Using queue named : calculatorQueue
2016-02-24 14:23:47.259 [Thread-6] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Start a connection to the ActiveMQ broker : tcp://127.0.0.1:61616
2016-02-24 14:23:47.259 [Thread-7] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Start a connection to the ActiveMQ broker : tcp://127.0.0.1:61616
2016-02-24 14:23:47.258 [Thread-3] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Start a connection to the ActiveMQ broker : tcp://127.0.0.1:61616
2016-02-24 14:23:47.514 [Thread-4] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Create a session and a queue named calculatorQueue
2016-02-24 14:23:47.516 [Thread-10] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Create a session and a queue named calculatorQueue
2016-02-24 14:23:47.516 [Thread-8] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Create a session and a queue named calculatorQueue
2016-02-24 14:23:47.518 [Thread-5] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Create a session and a queue named calculatorQueue
2016-02-24 14:23:47.519 [Thread-2] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Create a session and a queue named calculatorQueue
2016-02-24 14:23:47.519 [Thread-6] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Create a session and a queue named calculatorQueue
2016-02-24 14:23:47.519 [Thread-7] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Create a session and a queue named calculatorQueue
2016-02-24 14:23:47.519 [Thread-3] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Create a session and a queue named calculatorQueue
2016-02-24 14:23:47.519 [Thread-9] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Create a session and a queue named calculatorQueue
2016-02-24 14:23:47.521 [Thread-1] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Create a session and a queue named calculatorQueue
2016-02-24 14:23:47.558 [Thread-9] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Creating a worker in a non persistent message mode
2016-02-24 14:23:47.558 [Thread-8] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Creating a worker in a non persistent message mode
2016-02-24 14:23:47.558 [Thread-4] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Creating a worker in a non persistent message mode
2016-02-24 14:23:47.558 [Thread-2] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Creating a worker in a non persistent message mode
2016-02-24 14:23:47.559 [Thread-6] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Creating a worker in a non persistent message mode
2016-02-24 14:23:47.559 [Thread-10] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Creating a worker in a non persistent message mode
2016-02-24 14:23:47.559 [Thread-5] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Creating a worker in a non persistent message mode
2016-02-24 14:23:47.570 [Thread-7] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Creating a worker in a non persistent message mode
2016-02-24 14:23:47.572 [Thread-3] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Creating a worker in a non persistent message mode
2016-02-24 14:23:47.572 [Thread-1] INFO  fr.unice.polytech.ecoknowledge.common.worker.Worker - Creating a worker in a non persistent message mode
